X.U.FEFF.终端,IMEID,时间,东西,经度,南北,纬度,速度,航向,高度,温度,电压,运动量,卫星,HDOP,VDOP,精度,有效性
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 23:24,东经,99.97161,北纬,50.03315,0,296,1716,35.93,3.714,24,12,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 23:04,东经,99.97108,北纬,50.03314,0,67,1731,34.75,3.72,42,8,1.2,0.9,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 22:44,东经,99.97147,北纬,50.03341,0,358,1734,34.18,3.72,9,8,1,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 21:20,东经,99.98482,北纬,50.091,0,14,1610,32.25,3.729,1062,8,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 20:16,东经,99.99141,北纬,50.09111,0,96,1660,34.12,3.735,1087,15,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 19:56,东经,99.99244,北纬,50.09002,0,39,1628,34.51,3.735,1580,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 19:36,东经,99.99071,北纬,50.08747,0,90,1633,28.12,3.738,376,9,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 19:16,东经,100.02859,北纬,50.07703,0,9,1595,35.26,3.735,216,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 18:12,东经,100.02878,北纬,50.07703,0,190,1519,37.5,3.744,242,7,1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 17:52,东经,100.02876,北纬,50.07702,0,329,1553,36.63,3.744,86,6,1.2,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 17:32,东经,100.02869,北纬,50.07692,0,10,1546,38.65,3.744,400,9,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 16:48,东经,100.02808,北纬,50.07686,0,66,1546,37.33,3.75,276,9,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 16:28,东经,100.02841,北纬,50.07657,0,35,1587,39.12,3.747,274,9,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 14:48,东经,100.02923,北纬,50.07533,0,53,1582,28.37,3.747,496,11,0.7,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 14:28,东经,100.02972,北纬,50.07523,0,228,1569,41.27,3.735,264,9,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 14:08,东经,100.02956,北纬,50.07539,0,5,1551,35.18,3.738,143,10,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 12:24,东经,100.02814,北纬,50.07543,0,5,1590,43.31,3.735,194,9,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 11:24,东经,100.02957,北纬,50.07434,0,341,1597,45.53,3.735,84,8,1.2,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 10:44,东经,100.03185,北纬,50.07222,0,30,1579,37.96,3.732,305,8,1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 10:20,东经,100.03137,北纬,50.07222,0,49,1547,36.06,3.741,171,7,1.2,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 10:00,东经,100.03109,北纬,50.07234,0,164,1521,36.62,3.741,41,8,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 9:40,东经,100.03103,北纬,50.07232,0,74,1544,37.37,3.738,41,8,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 8:36,东经,99.99706,北纬,50.08641,1.5,353,1610,36.73,3.741,1804,8,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 7:56,东经,99.9904,北纬,50.08488,1.7,91,1638,35,3.741,1992,15,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 7:36,东经,99.98625,北纬,50.08451,0,140,1638,34.37,3.744,1458,9,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 7:16,东经,99.98347,北纬,50.08604,0,118,1611,33.5,3.744,1419,12,0.7,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 6:52,东经,99.98175,北纬,50.08841,0,106,1618,31.96,3.75,1182,10,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 6:32,东经,99.98394,北纬,50.08917,0,273,1611,30.5,3.75,1347,12,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 6:12,东经,99.9866,北纬,50.08842,0,286,1613,27.76,3.747,786,11,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 5:52,东经,99.96858,北纬,50.03749,47.7,20,1695,31.01,3.75,2128,11,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 4:48,东经,99.97237,北纬,50.03334,0,94,1666,29.37,3.756,50,8,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 4:28,东经,99.97272,北纬,50.03298,0,347,1652,25.62,3.756,269,7,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 2:24,东经,99.97165,北纬,50.03369,0,8,1744,33,3.762,2,8,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 2:04,东经,99.97186,北纬,50.03374,3.9,344,1714,29.98,3.762,85,9,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 1:40,东经,99.97328,北纬,50.03714,0,37,1709,32.62,3.771,0,10,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 1:20,东经,99.97404,北纬,50.03527,0,274,1695,31.31,3.771,17,15,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 1:00,东经,99.97462,北纬,50.03241,0,87,1685,35.37,3.771,0,8,1,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 23:59,东经,99.97534,北纬,50.03287,0,216,1716,35.96,3.771,2,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 23:39,东经,99.97537,北纬,50.03292,0,224,1718,34.93,3.771,4,13,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 23:19,东经,99.97533,北纬,50.03306,0,105,1708,32.95,3.768,20,13,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 22:59,东经,99.97398,北纬,50.03411,2.3,120,1782,27.71,3.774,81,9,1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 22:39,东经,99.97456,北纬,50.03202,0,17,1743,34.25,3.771,92,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 22:15,东经,99.97466,北纬,50.03225,0,50,1714,27.21,3.777,53,11,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 21:55,东经,99.97354,北纬,50.03338,0,124,1729,29.16,3.78,7,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 21:15,东经,99.98485,北纬,50.08957,0,336,1608,33.25,3.78,1487,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 20:55,东经,99.98498,北纬,50.09173,0,155,1623,34.62,3.78,1162,15,1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 19:28,东经,99.9764,北纬,49.98721,68.1,21,1643,26.2,4.194,19,9,0.9,1.1,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 19:08,东经,99.94426,北纬,49.91195,0,17,1548,36.22,4.194,186,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 18:28,东经,99.94763,北纬,49.9142,0,258,1552,35.61,4.197,9,9,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 16:48,东经,99.94756,北纬,49.91413,0,211,1544,35.87,4.197,39,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 16:28,东经,99.94721,北纬,49.91403,0,65,1572,39.26,4.194,18,15,0.6,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 16:08,东经,99.94737,北纬,49.91454,0,88,1501,36.8,4.2,1,11,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 15:28,东经,99.94771,北纬,49.91557,0,358,1552,34.2,4.2,0,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 15:08,东经,99.94788,北纬,49.91422,0,337,1560,37.45,4.2,22,12,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 13:28,东经,99.94792,北纬,49.91394,0,218,1526,39.91,4.164,29,11,0.8,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 13:08,东经,99.94812,北纬,49.91398,0,69,1550,41.5,4.161,120,8,1.1,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 11:48,东经,99.96327,北纬,49.935,0,313,1586,38.25,4.143,30,12,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 11:28,东经,99.96321,北纬,49.93515,0,32,1549,38.75,4.137,10,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 11:08,东经,99.96304,北纬,49.93502,0,303,1544,38.75,4.131,327,6,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 10:48,东经,99.96307,北纬,49.93541,0,284,1518,37.31,4.131,98,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 10:28,东经,99.96301,北纬,49.93555,0,291,1519,37.75,4.131,133,10,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 9:28,东经,99.96342,北纬,49.93526,0,61,1525,38.37,4.128,15,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 9:08,东经,99.96358,北纬,49.93526,0,182,1527,35.5,4.125,36,7,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 8:27,东经,99.96328,北纬,49.93507,0,313,1596,29.96,4.131,819,8,1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 8:07,东经,99.97549,北纬,49.95801,0,308,1622,35.16,4.125,1456,9,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 7:27,东经,99.97569,北纬,49.95518,0,12,1506,33.41,4.128,1835,11,0.7,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 6:47,东经,99.9687,北纬,49.95217,0,332,1431,31.25,4.134,1451,10,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 6:07,东经,99.96138,北纬,49.93132,0,353,1601,29.76,4.137,311,15,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 5:47,东经,99.95937,北纬,49.92589,0,38,1630,23.41,4.137,296,10,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 4:47,东经,99.90592,北纬,49.93472,0,34,1492,33.81,4.143,229,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 4:07,东经,99.90675,北纬,49.93528,0,301,1482,36.65,4.146,13,7,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 3:27,东经,99.90707,北纬,49.93497,0,5,1542,35.62,4.152,23,11,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 3:07,东经,99.90688,北纬,49.93509,0,3,1544,34.86,4.152,48,11,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 2:47,东经,99.90688,北纬,49.93507,0,336,1546,35.72,4.152,1,11,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 2:27,东经,99.9069,北纬,49.93508,0,16,1535,35.73,4.152,39,10,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 2:07,东经,99.90698,北纬,49.93502,0,334,1553,35,4.155,33,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 1:47,东经,99.90692,北纬,49.93499,0,262,1541,33.65,4.158,33,12,0.7,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 1:27,东经,99.90689,北纬,49.93505,0,263,1542,35,4.158,10,15,0.6,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 1:07,东经,99.90716,北纬,49.93497,0,317,1565,33.62,4.161,41,15,0.6,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/28 0:07,东经,99.90723,北纬,49.93499,0,222,1523,35,4.167,49,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 23:47,东经,99.90739,北纬,49.93522,0,64,1555,32.36,4.167,113,10,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 22:47,东经,99.90775,北纬,49.93523,0,185,1547,29.12,4.173,15,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 22:27,东经,99.90685,北纬,49.9348,0,137,1573,31.48,4.176,11,11,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 22:07,东经,99.9069,北纬,49.93476,0,353,1553,28.75,4.176,13,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 21:07,东经,99.8481,北纬,49.92708,1.5,15,1562,30.45,4.182,970,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 20:47,东经,99.84857,北纬,49.92828,1.5,125,1562,31.56,4.185,1256,11,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 20:27,东经,99.84535,北纬,49.92791,0,63,1564,30.62,4.185,1196,11,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 20:07,东经,99.84502,北纬,49.9309,0,103,1560,31.75,4.185,1505,11,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 19:47,东经,99.84921,北纬,49.92776,0,97,1552,29.06,4.188,1310,10,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 19:27,东经,99.84461,北纬,49.92665,0,81,1564,29.37,4.185,781,15,0.7,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 19:06,东经,99.90417,北纬,49.91385,0,316,1526,34.5,4.185,111,15,0.6,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 18:46,东经,99.90285,北纬,49.91595,0,32,1492,31.86,4.191,226,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 17:26,东经,99.39052,北纬,49.43806,0,346,1884,34.97,4.194,146,8,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 16:46,东经,99.38974,北纬,49.43793,0,311,1880,24.26,4.194,34,10,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 16:26,东经,99.36185,北纬,49.29168,82.5,35,2178,23.5,4.2,121,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 16:06,东经,99.23431,北纬,49.22427,0,314,1919,27.95,4.194,413,11,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 15:25,东经,99.23328,北纬,49.22459,0,98,1799,39.62,4.197,90,12,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 14:45,东经,99.23357,北纬,49.22159,0,45,1960,37.62,4.197,861,12,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 14:25,东经,99.23194,北纬,49.22236,0,319,1857,33.68,4.194,429,12,0.7,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 14:05,东经,99.23244,北纬,49.22283,0,357,1832,34.62,4.194,12,15,1,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 13:45,东经,99.23225,北纬,49.22251,0,355,1842,33,4.197,416,12,0.7,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 13:25,东经,99.23331,北纬,49.22161,0,133,1877,31.01,4.197,110,10,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 13:05,东经,99.23325,北纬,49.22163,0,32,1864,30.01,4.185,251,9,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 11:25,东经,99.23389,北纬,49.22404,0,327,1888,35.76,4.143,3,15,0.6,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 11:05,东经,99.23389,北纬,49.22409,0,340,1891,35.76,4.143,26,15,0.6,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 10:24,东经,99.23389,北纬,49.22449,0,6,1833,34.75,4.131,170,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 10:04,东经,99.23402,北纬,49.22422,0,33,1826,41.25,4.128,45,9,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 9:44,东经,99.23395,北纬,49.22425,0,175,1829,41.5,4.128,34,9,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 9:24,东经,99.23403,北纬,49.22407,0,301,1800,40.15,4.128,18,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 9:04,东经,99.23434,北纬,49.22421,0,16,1810,40.91,4.131,23,7,1,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 8:24,东经,99.23387,北纬,49.22454,0,219,1951,38,4.131,100,9,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 8:04,东经,99.23334,北纬,49.22445,0,7,1996,34.5,4.131,700,9,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 7:24,东经,99.23437,北纬,49.2224,0,271,1892,36.25,4.134,746,10,0.8,0.6,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 7:04,东经,99.2348,北纬,49.22215,0,20,1892,36,4.134,460,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 6:44,东经,99.23463,北纬,49.22237,0,14,1934,34.62,4.134,1027,10,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 6:24,东经,99.23408,北纬,49.22283,0,28,1942,33.01,4.134,800,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 5:44,东经,99.23393,北纬,49.22422,0,344,1996,35.03,4.137,43,10,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 5:04,东经,99.23304,北纬,49.22422,0,28,1964,36.81,4.14,88,9,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 3:44,东经,99.23317,北纬,49.22447,0,29,1905,35.42,4.146,25,7,1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 3:24,东经,99.23265,北纬,49.22429,0,215,1900,35.37,4.146,12,7,1.1,0.9,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 2:24,东经,99.23236,北纬,49.22404,0,230,1827,35.87,4.152,15,7,1.2,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 2:04,东经,99.23412,北纬,49.22401,0,77,1902,35.51,4.152,3,6,2,0.8,B,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 1:44,东经,99.23341,北纬,49.22366,0,105,1910,35.75,4.152,17,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 0:44,东经,99.23311,北纬,49.22378,0,5,1897,35.75,4.161,2,7,1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 0:24,东经,99.23321,北纬,49.22383,0,11,1898,35.58,4.161,24,6,1.4,0.9,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/27 0:04,东经,99.23364,北纬,49.22382,0,11,1964,35.37,4.164,8,8,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 23:24,东经,99.23328,北纬,49.22379,0,23,1810,35.62,4.164,11,8,1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 22:43,东经,99.23367,北纬,49.22367,0,86,1879,34.72,4.17,30,8,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 22:03,东经,99.2335,北纬,49.22367,0,158,1913,34.42,4.176,27,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 21:43,东经,99.23364,北纬,49.22366,0,183,1899,34.65,4.176,37,9,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 21:03,东经,99.2345,北纬,49.22355,2.3,300,1904,33.77,4.182,850,10,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 20:43,东经,99.23567,北纬,49.22272,0,201,1908,33.22,4.182,993,10,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 20:03,东经,99.23428,北纬,49.22326,0,112,1892,33.37,4.185,652,11,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 18:43,东经,99.23426,北纬,49.22518,0,121,1899,24.75,4.194,568,15,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 18:03,东经,99.23421,北纬,49.22498,0,314,1891,34.25,4.194,606,7,0.9,0.9,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 17:43,东经,99.2341,北纬,49.22401,0,188,1890,35.62,4.194,15,8,0.8,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 17:23,东经,99.23402,北纬,49.22401,0,332,1895,37.81,4.194,47,6,1.2,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 16:03,东经,99.23221,北纬,49.2234,0,313,1891,31.25,4.203,618,11,0.7,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 15:23,东经,99.23337,北纬,49.22358,0,234,1881,32.37,4.194,330,10,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/26 15:03,东经,99.2336,北纬,49.22353,0,227,1883,23.02,4.194,327,11,0.8,0.8,A,有效
